"State of Filing","Count of lawsuits for state"
" New York",6803
" California",2722
" Florida",784
" Pennsylvania",187
" Illinois",86
" Massachusetts",26
" Colorado",24
" Connecticut",16
" New Jersey",16
" Indiana",12
N/A,12
" Wisconsin",8
" Nebraska",6
" North Carolina",5
" District of Columbia",3
" Minnesota",3
" Georgia",3
" Texas",2
" Delaware",2
" Alabama",1
" None",1
" Missouri",1
" Oregon",1
" Washington",1
" Arkansas",1
" New Mexico",1
